Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2020/2021);VAUCANSON (6) POLY;6 RUE VAUCANSON;3ème Ardt;75103;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.356788105885711, 48.86711766168112]}";48.8671176617,2.35678810589
ELEMENTAIRES (année scolaire 2018/2019);FELIX FAURE (56) ELEM;56 avenue FELIX FAURE;15ème Ardt;75115;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.2866154930631, 48.84069866924896]}";48.8406986692,2.28661549306
ELEMENTAIRES (année scolaire 2020/2021);WURTZ (16) ELEM;16 RUE WURTZ;13ème Ardt;75113;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.344618527667761, 48.82693192147903]}";48.8269319215,2.34461852767
ELEMENTAIRES (année scolaire 2018/2019);CLAUDE VELLEFAUX (33) ELEM;33 avenue CLAUDE VELLEFAUX;10ème Ardt;75110;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.370133568042159, 48.87686236033686]}";48.8768623603,2.37013356804
ELEMENTAIRES (année scolaire 2020/2021);RAMPAL (11) ELEM;11 RUE RAMPAL;19ème Ardt;75119;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.379668279625724, 48.873715687744514]}";48.8737156877,2.37966827963
ELEMENTAIRES (année scolaire 2018/2019);MAURICE D'OCAGNE (7) ELEM;7 avenue MAURICE D'OCAGNE;14ème Ardt;75114;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.312155646429755, 48.824699596301315]}";48.8246995963,2.31215564643
ELEMENTAIRES (année scolaire 2020/2021);FRERES VOISIN (3) POLY;3 BOULEVARD DES FRERES VOISIN;15ème Ardt;75115;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.268341258697311, 48.82796359396378]}";48.827963594,2.2683412587
ELEMENTAIRES (année scolaire 2018/2019);GODEFROY CAVAIGNAC (35) ELEM;35 rue GODEFROY CAVAIGNAC;11ème Ardt;75111;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.380494282582257, 48.856080774530184]}";48.8560807745,2.38049428258
ELEMENTAIRES (année scolaire 2020/2021);TOURELLES (5/7) POLY;9 RUE DES TOURELLES;20ème Ardt;75120;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.404086116145681, 48.874737291378125]}";48.8747372914,2.40408611615
ELEMENTAIRES (année scolaire 2018/2019);PIERRE BROSSOLETTE (2) ELEM;2 rue PIERRE BROSSOLETTE;5ème Ardt;75105;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.347603591933133, 48.84197080320059]}";48.8419708032,2.34760359193
ELEMENTAIRES (année scolaire 2020/2021);ARBALETE (41) ELEM;41 RUE DE L' ARBALETE;5ème Ardt;75105;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.346485249145158, 48.839401767196506]}";48.8394017672,2.34648524915
ELEMENTAIRES (année scolaire 2018/2019);OLIVIER DE SERRES (27) ELEM;27 rue OLIVIER DE SERRES;15ème Ardt;75115;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.296860379410769, 48.835619842866464]}";48.8356198429,2.29686037941
ELEMENTAIRES (année scolaire 2020/2021);ST MAUR (22) ELEM A;22 RUE SAINT-MAUR;11ème Ardt;75111;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.382040686270863, 48.86030901280041]}";48.8603090128,2.38204068627
ELEMENTAIRES (année scolaire 2019/2020);VERTUS (8) ELEM;8 RUE DES VERTUS;3ème Ardt;75103;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.35787270659063, 48.86416445360316]}";48.8641644536,2.35787270659
ELEMENTAIRES (année scolaire 2018/2019);ARMAND CARREL (43) ELEM;43 rue ARMAND CARREL;19ème Ardt;75119;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.376675106599532, 48.882658024481955]}";48.8826580245,2.3766751066
ELEMENTAIRES (année scolaire 2019/2020);MADAME (42) ELEM;42 RUE MADAME;6ème Ardt;75106;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.331603607883424, 48.84894226702029]}";48.848942267,2.33160360788
ELEMENTAIRES (année scolaire 2018/2019);TANGER (41) ELEM A;41 RUE DE TANGER;19ème Ardt;75119;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.37023641333394, 48.8877681355254]}";48.8877681355,2.37023641333
ELEMENTAIRES (année scolaire 2019/2020);VIGEE LEBRUN (11) ELEM B;11 RUE VIGEE-LEBRUN;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.310576960575041, 48.83903841305058]}";48.8390384131,2.31057696058
ELEMENTAIRES (année scolaire 2018/2019);LEGENDRE (49) ELEM;49 rue LEGENDRE;17ème Ardt;75117;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.315967657899578, 48.88525364124536]}";48.8852536412,2.3159676579
ELEMENTAIRES (année scolaire 2019/2020);MARSEILLE (17) ELEM;17 RUE DE MARSEILLE;10ème Ardt;75110;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.363824660805191, 48.87175161425045]}";48.8717516143,2.36382466081
ELEMENTAIRES (année scolaire 2018/2019);BIENFAISANCE (12 B) ELEM;12 bis RUE DE LA BIENFAISANCE;8ème Ardt;75108;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.319889925591421, 48.87680400362479]}";48.8768040036,2.31988992559
ELEMENTAIRES (année scolaire 2019/2020);PYRENEES (293) ELEM A;293 RUE DES PYRENEES;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.394791134158918, 48.86940017344501]}";48.8694001734,2.39479113416
ELEMENTAIRES (année scolaire 2018/2019);BOULANGERS (19) ELEM;19 RUE DES BOULANGERS;5ème Ardt;75105;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.3529941428633983, 48.84585881914809]}";48.8458588191,2.35299414286
ELEMENTAIRES (année scolaire 2019/2020);MACDONALD (118) POLY;118 BOULEVARD MACDONALD;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.381345564306251, 48.89908833401108]}";48.899088334,2.38134556431
ELEMENTAIRES (année scolaire 2018/2019);DUSSOUBS (42) ELEM;42 rue DUSSOUBS;2ème Ardt;75102;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.349694356580283, 48.86716386797867]}";48.867163868,2.34969435658
ELEMENTAIRES (année scolaire 2019/2020);LEMERCIER (105) ELEM;105 RUE LEMERCIER;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.318082869306484, 48.88970330705749]}";48.8897033071,2.31808286931
ELEMENTAIRES (année scolaire 2018/2019);ST MAUR (200) ELEM;200 rue SAINT-MAUR;10ème Ardt;75110;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.371684848293722, 48.87223208446394]}";48.8722320845,2.37168484829
ELEMENTAIRES (année scolaire 2019/2020);PAJOL (11) POLY;11 bis RUE PAJOL;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3606096721828242, 48.88557045478098]}";48.8855704548,2.36060967218
ELEMENTAIRES (année scolaire 2018/2019);EUGENE REISZ (4) ELEM;4 rue EUGENE REISZ;20ème Ardt;75120;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.410899652414114, 48.856608684420564]}";48.8566086844,2.41089965241
ELEMENTAIRES (année scolaire 2019/2020);OLIVIER DE SERRES (27) ELEM;27 RUE OLIVIER DE SERRES;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.296860379410769, 48.835619842866464]}";48.8356198429,2.29686037941
ELEMENTAIRES (année scolaire 2018/2019);JEAN BOUTON (5) ELEM;5 rue JEAN BOUTON;12ème Ardt;75112;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.376766718104299, 48.84569695857897]}";48.8456969586,2.3767667181
ELEMENTAIRES (année scolaire 2019/2020);SAUSSURE (101) ELEM;101 RUE DE SAUSSURE;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.311717564252972, 48.88742997148777]}";48.8874299715,2.31171756425
ELEMENTAIRES (année scolaire 2018/2019);CHERBOURG (15) ELEM;15 RUE DE CHERBOURG;15ème Ardt;75115;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.304099545934175, 48.831062534324396]}";48.8310625343,2.30409954593
ELEMENTAIRES (année scolaire 2019/2020);REPUBLIQUE (100) ELEM;100 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3827617701033432, 48.863557051297875]}";48.8635570513,2.3827617701
ELEMENTAIRES (année scolaire 2018/2019);GERTY ARCHIMEDE (5) ELEM;5 rue BARON LE ROY;12ème Ardt;75112;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.387077271023936, 48.83558943160167]}";48.8355894316,2.38707727102
ELEMENTAIRES (année scolaire 2019/2020);DAVOUT (51) POLY;51 BOULEVARD DAVOUT;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.410732854133677, 48.85132892378064]}";48.8513289238,2.41073285413
ELEMENTAIRES (année scolaire 2019/2020);FELIX FAURE (146) ELEM;146 AVENUE FELIX FAURE;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.279313380243615, 48.837356530584856]}";48.8373565306,2.27931338024
ELEMENTAIRES (année scolaire 2019/2020);EPINETTES (42) ELEM;42 RUE DES EPINETTES;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.323889402230782, 48.89681677533775]}";48.8968167753,2.32388940223
ELEMENTAIRES (année scolaire 2019/2020);AMIRAL ROUSSIN (35) ELEM;35 RUE DE L' AMIRAL ROUSSIN;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.299626335097908, 48.84423314962169]}";48.8442331496,2.2996263351
ELEMENTAIRES (année scolaire 2019/2020);REUILLY (57) ELEM A;57 RUE DE REUILLY;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.388583682555689, 48.84576439632679]}";48.8457643963,2.38858368256
ELEMENTAIRES (année scolaire 2019/2020);ETIENNE MARCEL (20) POLY;20 RUE ETIENNE MARCEL;2ème Ardt;75102;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.348314568868274, 48.864140576953304]}";48.864140577,2.34831456887
ELEMENTAIRES (année scolaire 2019/2020);CONVENTION (78) POLY;78 RUE DE LA CONVENTION;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.284786365599895, 48.84239912578337]}";48.8423991258,2.2847863656
ELEMENTAIRES (année scolaire 2019/2020);TOURELLES (5/7) POLY;9 RUE DES TOURELLES;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.4040861161148133, 48.874737294075985]}";48.8747372941,2.40408611611
ELEMENTAIRES (année scolaire 2019/2020);OUEST (69) POLY;69 RUE DE L' OUEST;14ème Ardt;75114;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.318560363625274, 48.83564960806688]}";48.8356496081,2.31856036363
ELEMENTAIRES (année scolaire 2019/2020);PICPUS (56) ELEM A;56 RUE DE PICPUS;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.396622582589004, 48.84359141910779]}";48.8435914191,2.39662258259
ELEMENTAIRES (année scolaire 2019/2020);PARMENTIER (109) ELEM;109 AVENUE PARMENTIER;11ème Ardt;75111;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.372622075764323, 48.86761511113451]}";48.8676151111,2.37262207576
ELEMENTAIRES (année scolaire 2019/2020);HENRI NOGUERES (10) POLY;10 RUE HENRI NOGUERES;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.37468390873275, 48.88463842574713]}";48.8846384257,2.37468390873
ELEMENTAIRES (année scolaire 2019/2020);BALANCHINE (8-10) POLY;8 RUE GEORGE BALANCHINE;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.373644553919564, 48.83646719941627]}";48.8364671994,2.37364455392
ELEMENTAIRES (année scolaire 2019/2020);DECAMPS (4) POLY;4 RUE DECAMPS;16ème Ardt;75116;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.282533558624801, 48.86525180230905]}";48.8652518023,2.28253355862
ELEMENTAIRES (année scolaire 2019/2020);TOURTILLE (38) ELEM;38 RUE DE TOURTILLE;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.380426212002296, 48.87230792838699]}";48.8723079284,2.380426212
ELEMENTAIRES (année scolaire 2019/2020);SIBELLE (13) POLY;13 AVENUE DE LA SIBELLE;14ème Ardt;75114;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.338465797153725, 48.825976520987375]}";48.825976521,2.33846579715
ELEMENTAIRES (année scolaire 2019/2020);OURCQ (105B) ELEM B;105 bis RUE DE L' OURCQ;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.375075379330802, 48.89355839351679]}";48.8935583935,2.37507537933
ELEMENTAIRES (année scolaire 2019/2020);OURCQ (105B) ELEM A;105 bis RUE DE L' OURCQ;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.375075379330802, 48.89355839351679]}";48.8935583935,2.37507537933
ELEMENTAIRES (année scolaire 2019/2020);FRANCOISE DORLEAC ELEM B;60 RUE RENE BINET;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3374527923173662, 48.89938990076311]}";48.8993899008,2.33745279232
ELEMENTAIRES (année scolaire 2019/2020);FRANCOIS COPPEE (14) ELEM;14 RUE FRANCOIS COPPEE;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.287841502893302, 48.839875285990345]}";48.839875286,2.28784150289
ELEMENTAIRES (année scolaire 2019/2020);EMILE LEVASSOR (3) ELEM;3 RUE EMILE LEVASSOR;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.369042816455583, 48.82088924723017]}";48.8208892472,2.36904281646
ELEMENTAIRES (année scolaire 2019/2020);PELLEPORT (166) POLY;166 RUE PELLEPORT;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.397987454871222, 48.87336492903247]}";48.873364929,2.39798745487
ELEMENTAIRES (année scolaire 2019/2020);BOISSIERE (56) POLY;54 RUE BOISSIERE;16ème Ardt;75116;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.28804414291316, 48.86804861285095]}";48.8680486129,2.28804414291
ELEMENTAIRES (année scolaire 2019/2020);ST SEBASTIEN (24) ELEM;24 RUE SAINT-SEBASTIEN;11ème Ardt;75111;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.369445127051396, 48.86111734645433]}";48.8611173465,2.36944512705
ELEMENTAIRES (année scolaire 2017/2018);MONT CENIS (26) ELEM;26 RUE DU MONT CENIS;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.342154627279557, 48.88854677993697]}";48.8885467799,2.34215462728
ELEMENTAIRES (année scolaire 2017/2018);LESSEPS (9) ELEM B;9 RUE DE LESSEPS;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.400168773742517, 48.85871148587306]}";48.8587114859,2.40016877374
ELEMENTAIRES (année scolaire 2017/2018);CARDINAL LEMOINE (24) ELEM;24 RUE DU CARDINAL LEMOINE;5ème Ardt;75105;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.353281840182742, 48.84827306020627]}";48.8482730602,2.35328184018
ELEMENTAIRES (année scolaire 2017/2018);MADAME (42) ELEM;42 rue MADAME;6ème Ardt;75106;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.331603607883424, 48.84894226702029]}";48.848942267,2.33160360788
ELEMENTAIRES (année scolaire 2017/2018);PAUL BAUDRY (10) POLY;10 rue PAUL BAUDRY;8ème Ardt;75108;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.307404168235311, 48.87234526199682]}";48.872345262,2.30740416824
