Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2021/2022);GUILLAUME APOLLINAIRE;39 AVENUE EMILE ZOLA;15ème Ardt;75115;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.282679643541084, 48.84657111281111]}";48.8465711128,2.28267964354
COLLEGES (année scolaire 2017/2018 - 2018/2019);LAMARTINE;121 RUE DU FAUBOURG POISSONNIERE;9ème Ardt;75109;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.349089434800358, 48.878381402696334]}";48.8783814027,2.3490894348
COLLEGES (année scolaire 2017/2018 - 2018/2019);JULES FERRY;77 bis BOULEVARD DE CLICHY;9ème Ardt;75109;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.329145603880775, 48.884350176621105]}";48.8843501766,2.32914560388
COLLEGES (année scolaire 2017/2018 - 2018/2019);HECTOR BERLIOZ;17 rue GEORGETTE AGUTTE;18ème Ardt;75118;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.332815674955064, 48.89581467147387]}";48.8958146715,2.33281567496
COLLEGES (année scolaire 2017/2018 - 2018/2019);FRANCOIS VILLON;10 avenue MARC SANGNIER;14ème Ardt;75114;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.305819982627661, 48.82622241341022]}";48.8262224134,2.30581998263
COLLEGES (année scolaire 2017/2018 - 2018/2019);EUGENE DELACROIX;13 rue EUGENE DELACROIX;16ème Ardt;75116;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.277838764505605, 48.86260602908071]}";48.8626060291,2.27783876451
COLLEGES (année scolaire 2017/2018 - 2018/2019);LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.374321373911604, 48.86823414377605]}";48.8682341438,2.37432137391
COLLEGES (année scolaire 2021/2022);VICTOR DURUY;33 BOULEVARD DES INVALIDES;7ème Ardt;75107;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.314847939764742, 48.852300012338986]}";48.8523000123,2.31484793976
COLLEGES (année scolaire 2021/2022);EDGAR VARESE;16 RUE ADOLPHE MILLE;19ème Ardt;75119;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.388586748411056, 48.889159903252185]}";48.8891599033,2.38858674841
COLLEGES (année scolaire 2019/2020);LAMARTINE;121 RUE DU FAUBOURG POISSONNIERE;9ème Ardt;75109;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.349089434811596, 48.87838140179708]}";48.8783814018,2.34908943481
COLLEGES (année scolaire 2019/2020);ROBERT DOISNEAU;51 RUE DES PANOYAUX;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.387974290383503, 48.867074158408606]}";48.8670741584,2.38797429038
COLLEGES (année scolaire 2019/2020);MONTGOLFIER;15 rue MONTGOLFIER;3ème Ardt;75103;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.357397977750794, 48.86669135959088]}";48.8666913596,2.35739797775
COLLEGES (année scolaire 2019/2020);CESAR FRANCK;5 RUE DE LA JUSSIENNE;2ème Ardt;75102;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.34420267850215, 48.865355840090324]}";48.8653558401,2.3442026785
COLLEGES (année scolaire 2019/2020);JACQUES PREVERT;18 rue SAINT-BENOIT;6ème Ardt;75106;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.33284554141063, 48.85473387550506]}";48.8547338755,2.33284554141
COLLEGES (année scolaire 2019/2020);ROLAND DORGELES;63 RUE DE CLIGNANCOURT;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.347862029241677, 48.88824191073928]}";48.8882419107,2.34786202924
COLLEGES (année scolaire 2019/2020);VALMY;199 QUAI DE VALMY;10ème Ardt;75110;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.368318406319591, 48.88162386887571]}";48.8816238689,2.36831840632
COLLEGES (année scolaire 2019/2020);LEON GAMBETTA;149 avenue GAMBETTA;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.402724143950125, 48.869999096573316]}";48.8699990966,2.40272414395
COLLEGES (année scolaire 2020/2021);JACQUES PREVERT;18 RUE SAINT-BENOIT;6ème Ardt;75106;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.332845541456687, 48.854733871907925]}";48.8547338719,2.33284554146
COLLEGES (année scolaire 2020/2021);CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.291597647510685, 48.84529147463902]}";48.8452914746,2.29159764751
COLLEGES (année scolaire 2021/2022);CARNOT;145 BOULEVARD MALESHERBES;17ème Ardt;75117;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.307843960015456, 48.88447741020546]}";48.8844774102,2.30784396002
COLLEGES (année scolaire 2021/2022);ROSE BLANCHE;101 RUE DE SAUSSURE;17ème Ardt;75117;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.311717565640409, 48.8874299696971]}";48.8874299697,2.31171756564
COLLEGES (année scolaire 2021/2022);HECTOR BERLIOZ;17 RUE GEORGETTE AGUTTE;18ème Ardt;75118;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.332815674978112, 48.89581466967535]}";48.8958146697,2.33281567498
COLLEGES (année scolaire 2021/2022);LEON GAMBETTA;149 AVENUE GAMBETTA;20ème Ardt;75120;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.402724143981059, 48.86999909387548]}";48.8699990939,2.40272414398
COLLEGES (année scolaire 2017/2018 - 2018/2019);JEAN-BAPTISTE SAY;11 bis RUE D' AUTEUIL;16ème Ardt;75116;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.267323660586099, 48.847305417146494]}";48.8473054171,2.26732366059
COLLEGES (année scolaire 2017/2018 - 2018/2019);BERNARD PALISSY;21 RUE DES PETITS HOTELS;10ème Ardt;75110;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.3528589943137153, 48.87746346536574]}";48.8774634654,2.35285899431
COLLEGES (année scolaire 2017/2018 - 2018/2019);CLAUDE BERNARD;1 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.254942341593492, 48.84197468513282]}";48.8419746851,2.25494234159
COLLEGES (année scolaire 2017/2018 - 2018/2019);RAYMOND QUENEAU;66 boulevard SAINT-MARCEL;5ème Ardt;75105;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.354673915662758, 48.83789636148053]}";48.8378963615,2.35467391566
COLLEGES (année scolaire 2017/2018 - 2018/2019);VOLTAIRE;101 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.384525451536643, 48.8635255677655]}";48.8635255678,2.38452545154
COLLEGES (année scolaire 2021/2022);JEAN DE LA FONTAINE;1 PLACE DE LA PORTE MOLITOR;16ème Ardt;75116;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.256577695486443, 48.84519060168556]}";48.8451906017,2.25657769549
COLLEGES (année scolaire 2021/2022);SUZANNE LACORE;BOULEVARD MAC DONALD;19ème Ardt;75119;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.378876548969465, 48.89860872328315]}";48.8986087233,2.37887654897
